C, 22, BRK, 19, 0, 298, 49, 86, .570, 0, 4, .000, 49, 82, .598, .570, 26, 41, .634, 43, 79, 122, 15, 7, 13, 20, 41, 124, 
SG, 20, POR, 19, 18, 703, 117, 283, .413, 37, 109, .339, 80, 174, .460, .479, 65, 77, .844, 29, 77, 106, 64, 21, 8, 58, 58, 336, 
SG, 22, IND, 9, 0, 58, 9, 22, .409, 5, 15, .333, 4, 7, .571, .523, 2, 2, 1.000, 1, 4, 5, 5, 1, 0, 1, 6, 25, 
PF, 29, TOR, 20, 20, 686, 154, 323, .477, 16, 81, .198, 138, 242, .570, .502, 76, 102, .745, 33, 110, 143, 99, 15, 4, 53, 46, 400, 
PG, 27, BRK, 6, 6, 191, 19, 36, .528, 0, 0, , 19, 36, .528, .528, 1, 4, .250, 16, 49, 65, 40, 3, 5, 15, 16, 39, 
SG, 24, POR, 1, 1, 27, 6, 14, .429, 2, 6, .333, 4, 8, .500, .500, 4, 4, 1.000, 1, 1, 2, 4, 2, 0, 0, 2, 18, 
C, 25, NYK, 8, 0, 22, 2, 3, .667, 0, 0, , 2, 3, .667, .667, 1, 3, .333, 1, 9, 10, 1, 0, 0, 0, 1, 5, 
SF, 24, SAC, 4, 0, 17, 2, 3, .667, 0, 1, .000, 2, 2, 1.000, .667, 0, 0, , 0, 4, 4, 2, 0, 1, 1, 1, 4, 
PG, 29, MEM, 11, 11, 329, 51, 119, .429, 18, 61, .295, 33, 58, .569, .504, 17, 21, .810, 3, 24, 27, 55, 22, 4, 37, 35, 137, 
PG, 26, BRK, 12, 0, 207, 30, 73, .411, 7, 22, .318, 23, 51, .451, .459, 7, 9, .778, 9, 27, 36, 41, 9, 3, 12, 25, 74, 
SG, 26, MIA, 9, 0, 131, 15, 33, .455, 7, 17, .412, 8, 16, .500, .561, 2, 2, 1.000, 6, 8, 14, 14, 9, 3, 5, 12, 39, 
PG, 35, CHO, 12, 0, 191, 20, 34, .588, 1, 2, .500, 19, 32, .594, .603, 0, 0, , 4, 19, 23, 28, 5, 1, 15, 14, 41, 
PF, 20, HOU, 17, 17, 513, 90, 178, .506, 29, 81, .358, 61, 97, .629, .587, 17, 23, .739, 25, 108, 133, 25, 11, 14, 22, 57, 226, 
C, 23, IND, 14, 0, 216, 53, 75, .707, 14, 21, .667, 39, 54, .722, .800, 20, 27, .741, 20, 57, 77, 12, 5, 4, 15, 29, 140, 
SG, 19, CHO, 8, 0, 57, 12, 25, .480, 8, 12, .667, 4, 13, .308, .640, 0, 0, , 2, 3, 5, 2, 1, 2, 2, 5, 32, 
PG, 20, SAS, 19, 19, 551, 85, 190, .447, 18, 42, .429, 67, 148, .453, .495, 34, 43, .791, 28, 74, 102, 84, 14, 4, 46, 56, 222, 
SG, 21, PHI, 11, 0, 127, 13, 37, .351, 3, 12, .250, 10, 25, .400, .392, 6, 8, .750, 12, 10, 22, 10, 5, 6, 12, 18, 35, 
